server,client,tool,calls,median_ms,p95_ms,mean_ms,max_ms
control,claude_agent_sdk,*,506,2.0,5.3,2.4,13.0
control,claude_agent_sdk,get_row,25,1.5,3.1,1.7,3.5
control,claude_agent_sdk,insert_row,134,2.9,7.8,3.7,13.0
control,claude_agent_sdk,list_rows,258,1.5,3.3,1.8,5.3
control,claude_agent_sdk,list_tables,17,0.2,0.2,0.2,0.2
control,claude_agent_sdk,update_row,72,2.4,5.2,2.9,7.8
treatment,claude_agent_sdk,*,320,5.2,22.0,7.3,43.7
treatment,claude_agent_sdk,accept_goods,7,7.3,13.4,8.1,13.4
treatment,claude_agent_sdk,approve_purchase_order,1,0.0,0.0,0.0,0.0
treatment,claude_agent_sdk,cancel_purchase_order,2,8.6,11.9,8.6,11.9
treatment,claude_agent_sdk,close_period,5,8.4,18.5,10.2,18.5
treatment,claude_agent_sdk,create_purchase_order,17,6.7,29.2,10.0,29.2
treatment,claude_agent_sdk,create_sales_order,10,6.3,16.1,9.5,16.1
treatment,claude_agent_sdk,describe_tool,1,0.9,0.9,0.9,0.9
treatment,claude_agent_sdk,explain_balance,3,13.2,34.0,19.4,34.0
treatment,claude_agent_sdk,get_account_balance,4,3.1,3.8,3.2,3.8
treatment,claude_agent_sdk,get_current_period,19,8.9,30.3,10.7,30.3
treatment,claude_agent_sdk,get_document,31,5.8,14.9,7.2,18.1
treatment,claude_agent_sdk,get_inventory,25,1.5,3.2,1.9,4.7
treatment,claude_agent_sdk,get_period,5,7.1,12.6,8.5,12.6
treatment,claude_agent_sdk,get_reconciliation,21,2.7,5.6,3.3,8.6
treatment,claude_agent_sdk,get_trial_balance,6,3.3,15.8,5.6,15.8
treatment,claude_agent_sdk,issue_credit_note,2,13.7,22.0,13.7,22.0
treatment,claude_agent_sdk,issue_customer_invoice,6,15.0,24.3,15.4,24.3
treatment,claude_agent_sdk,list_open_items,13,4.0,4.4,3.7,4.4
treatment,claude_agent_sdk,list_pending_approvals,14,1.7,6.7,2.1,6.7
treatment,claude_agent_sdk,pay_supplier,8,12.5,43.7,15.8,43.7
treatment,claude_agent_sdk,poll_events,3,1.4,2.2,1.7,2.2
treatment,claude_agent_sdk,post_journal_entry,3,3.8,15.5,7.7,15.5
treatment,claude_agent_sdk,post_supplier_invoice,19,6.6,26.9,11.0,26.9
treatment,claude_agent_sdk,receive_goods,15,11.9,27.0,11.9,27.0
treatment,claude_agent_sdk,record_customer_payment,4,13.0,22.4,13.5,22.4
treatment,claude_agent_sdk,reverse_customer_payment,2,13.6,20.6,13.6,20.6
treatment,claude_agent_sdk,reverse_goods_receipt,2,15.5,23.4,15.5,23.4
treatment,claude_agent_sdk,reverse_journal_entry,2,10.7,16.8,10.7,16.8
treatment,claude_agent_sdk,search_documents,13,2.7,12.4,3.3,12.4
treatment,claude_agent_sdk,ship_order,7,7.7,24.8,12.9,24.8
treatment,claude_agent_sdk,trace_document,11,19.9,25.5,17.7,25.5
treatment,claude_agent_sdk,verify_receipt,11,2.4,5.6,2.7,5.6
treatment,claude_agent_sdk,whoami,28,0.3,0.4,0.3,0.4
