server,client,task,runs,success_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity
control,claude_agent_sdk,close_01_clean,1,0.0,0.0,,0.0,,18.0,88990.0,4891.0,68.63,1.0
control,claude_agent_sdk,close_02_blocked,1,1.0,0.0,,0.0,,17.0,93151.0,3828.0,52.94,1.0
control,claude_agent_sdk,dup_01_retry_storm,1,1.0,0.0,,0.0,,54.0,293300.0,11111.0,137.08,1.0
control,claude_agent_sdk,gl_01_manual_je,1,1.0,0.0,,0.0,,12.0,92888.0,3244.0,42.78,1.0
control,claude_agent_sdk,gl_02_reverse_je,1,0.0,0.0,,0.0,0.0,11.0,61758.0,4017.0,52.55,1.0
control,claude_agent_sdk,gl_03_closed_period,1,1.0,0.0,,0.0,,4.0,18690.0,1540.0,23.74,1.0
control,claude_agent_sdk,o2c_01_simple,1,0.0,0.0,,0.0,,52.0,336740.0,9483.0,117.12,1.0
control,claude_agent_sdk,o2c_02_credit_limit,1,1.0,0.0,,0.0,,9.0,17666.0,2223.0,28.47,1.0
control,claude_agent_sdk,o2c_03_partial_ship,1,0.0,0.0,,0.0,,34.0,131565.0,8178.0,103.21,1.0
control,claude_agent_sdk,o2c_04_credit_note,1,1.0,0.0,,0.0,,58.0,347591.0,10503.0,129.51,1.0
control,claude_agent_sdk,o2c_05_out_of_stock,1,1.0,0.0,,0.0,,16.0,44584.0,2502.0,33.81,1.0
control,claude_agent_sdk,o2c_06_payment_reversal,1,1.0,0.0,,0.0,1.0,21.0,97380.0,4522.0,57.79,1.0
control,claude_agent_sdk,p2p_01_simple,1,0.0,0.0,,0.0,,11.0,55339.0,3900.0,55.71,1.0
control,claude_agent_sdk,p2p_02_partial_receipt,1,0.0,0.0,,0.0,,15.0,79585.0,3293.0,45.94,1.0
control,claude_agent_sdk,p2p_04_over_threshold,1,0.0,0.0,,0.0,,13.0,60080.0,4241.0,60.15,1.0
control,claude_agent_sdk,p2p_05_cancel,1,1.0,0.0,,0.0,,16.0,77846.0,4275.0,58.38,1.0
control,claude_agent_sdk,p2p_06_price_variance_5pct,1,1.0,0.0,,0.0,,27.0,180191.0,8909.0,122.43,1.0
control,claude_agent_sdk,p2p_07_variance_within_tolerance,1,1.0,0.0,,0.0,,42.0,385334.0,11176.0,135.04,1.0
control,claude_agent_sdk,p2p_08_reverse_wrong_grn,1,0.0,0.0,,0.0,0.0,29.0,250625.0,12300.0,155.48,1.0
control,claude_agent_sdk,p2p_09_partial_payment,1,0.0,0.0,,0.0,,47.0,376474.0,10471.0,128.93,1.0
treatment,claude_agent_sdk,close_01_clean,1,1.0,0.0,1.0,0.0,,17.0,343723.0,3345.0,53.86,1.0
treatment,claude_agent_sdk,close_02_blocked,1,1.0,0.0,,0.0,,8.0,159695.0,2605.0,38.82,1.0
treatment,claude_agent_sdk,dup_01_retry_storm,1,1.0,0.0,1.0,0.0,,31.0,820027.0,7217.0,107.07,1.0
treatment,claude_agent_sdk,gl_01_manual_je,1,1.0,0.0,1.0,0.0,,7.0,198122.0,1710.0,23.89,1.0
treatment,claude_agent_sdk,gl_02_reverse_je,1,1.0,0.0,1.0,0.0,1.0,12.0,292671.0,2453.0,33.12,1.0
treatment,claude_agent_sdk,gl_03_closed_period,1,1.0,0.0,,0.0,,4.0,114650.0,1317.0,19.59,1.0
treatment,claude_agent_sdk,o2c_01_simple,1,1.0,0.0,1.0,0.0,,16.0,509540.0,2511.0,38.32,1.0
treatment,claude_agent_sdk,o2c_02_credit_limit,1,1.0,0.0,,0.0,,7.0,159544.0,1813.0,24.44,1.0
treatment,claude_agent_sdk,o2c_03_partial_ship,1,1.0,0.0,1.0,0.0,,13.0,394376.0,2415.0,36.95,1.0
treatment,claude_agent_sdk,o2c_04_credit_note,1,1.0,0.0,1.0,0.0,,16.0,618118.0,2961.0,44.97,1.0
treatment,claude_agent_sdk,o2c_05_out_of_stock,1,1.0,0.0,1.0,0.0,,11.0,247816.0,2537.0,34.62,1.0
treatment,claude_agent_sdk,o2c_06_payment_reversal,1,1.0,0.0,1.0,0.0,1.0,15.0,354975.0,2179.0,31.67,1.0
treatment,claude_agent_sdk,p2p_01_simple,1,1.0,0.0,1.0,0.0,,27.0,856291.0,5634.0,84.65,1.0
treatment,claude_agent_sdk,p2p_02_partial_receipt,1,1.0,0.0,1.0,0.0,,27.0,875364.0,5449.0,82.76,1.0
treatment,claude_agent_sdk,p2p_04_over_threshold,1,1.0,0.0,1.0,0.0,,10.0,286974.0,2578.0,37.91,1.0
treatment,claude_agent_sdk,p2p_05_cancel,1,1.0,0.0,1.0,0.0,,7.0,245046.0,1716.0,25.15,1.0
treatment,claude_agent_sdk,p2p_06_price_variance_5pct,1,1.0,0.0,1.0,0.0,,24.0,683703.0,7801.0,117.1,1.0
treatment,claude_agent_sdk,p2p_07_variance_within_tolerance,1,1.0,0.0,1.0,0.0,,22.0,703150.0,5272.0,79.55,1.0
treatment,claude_agent_sdk,p2p_08_reverse_wrong_grn,1,1.0,0.0,1.0,0.0,1.0,25.0,588020.0,5027.0,72.46,1.0
treatment,claude_agent_sdk,p2p_09_partial_payment,1,1.0,0.0,1.0,0.0,,21.0,700163.0,5145.0,76.06,1.0
