server,client,model,task,runs,success_rate,step_limit_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,google_adk,gemini-3.8-flash,close_01_clean,3,0.0,1.0,0.0,0.0,0.0,,0.0,,10.0,139455.333,802.333,25.94,1.0,
control,google_adk,gemini-3.8-flash,close_02_blocked,3,0.0,1.0,0.0,0.0,0.0,,0.0,,12.0,205610.333,1037.0,26.24,1.0,
control,google_adk,gemini-3.8-flash,dup_01_retry_storm,3,0.0,1.0,0.0,0.0,0.0,,0.0,,68.667,1233150.333,16886.667,209.237,1.0,
control,google_adk,gemini-3.8-flash,gl_01_manual_je,3,0.0,1.0,0.0,0.0,0.0,,0.0,,17.333,204719.667,3792.333,42.0,1.0,
control,google_adk,gemini-3.8-flash,gl_02_reverse_je,3,0.0,1.0,0.0,0.0,0.333,,0.0,0.0,14.0,247801.667,9912.333,56.43,1.0,
control,google_adk,gemini-3.8-flash,gl_03_closed_period,3,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,35297.667,1635.333,13.487,1.0,
control,google_adk,gemini-3.8-flash,o2c_01_simple,3,0.0,1.0,0.0,0.0,0.333,,0.0,,29.667,524680.667,7539.333,71.09,1.0,
control,google_adk,gemini-3.8-flash,o2c_02_credit_limit,3,1.0,0.0,0.0,0.0,0.0,,0.0,,9.0,28903.0,2140.333,24.207,1.0,
control,google_adk,gemini-3.8-flash,o2c_03_partial_ship,3,0.0,1.0,0.0,0.0,0.0,,0.0,,28.0,399991.333,7114.667,63.257,1.0,
control,google_adk,gemini-3.8-flash,o2c_04_credit_note,3,0.0,1.0,0.0,0.0,0.667,,0.0,,30.667,660058.333,10331.667,103.78,1.0,
control,google_adk,gemini-3.8-flash,o2c_05_out_of_stock,3,0.333,0.667,0.0,0.0,0.0,,0.0,,20.333,229621.667,4511.667,43.133,1.0,
control,google_adk,gemini-3.8-flash,o2c_06_payment_reversal,3,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,21.0,266654.667,9881.333,63.83,1.0,
control,google_adk,gemini-3.8-flash,p2p_01_simple,3,0.0,1.0,0.0,0.0,0.0,,0.0,,41.333,863827.333,14293.667,102.23,1.0,
control,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,0.0,1.0,0.0,0.0,0.0,,0.0,,57.0,1082692.0,20355.0,152.257,1.0,
control,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,0.0,1.0,0.0,0.0,0.333,,0.333,,22.667,356054.667,8181.667,72.333,1.0,
control,google_adk,gemini-3.8-flash,p2p_05_cancel,3,0.0,1.0,0.0,0.0,0.0,,0.0,,18.0,133547.333,2597.667,28.007,1.0,
control,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,0.0,1.0,0.0,0.0,0.0,,0.0,,34.0,687955.0,11430.0,126.03,1.0,
control,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,0.0,1.0,0.0,0.0,0.333,,0.0,,45.0,944749.333,12459.333,124.81,1.0,
control,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,15.667,205234.333,14546.0,103.987,1.0,
control,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,0.0,1.0,0.0,0.0,0.0,,0.0,,37.667,726696.667,10150.0,115.997,1.0,
