server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,google_adk,gemini-3.8-flash,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.667,557533.333,5009.667,94.043,1.0,closed=3
control,google_adk,gemini-3.8-flash,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.0,428298.333,5069.0,82.573,1.0,
control,google_adk,gemini-3.8-flash,dup_01_retry_storm,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,92.667,2947130.333,35475.667,272.897,1.0,
control,google_adk,gemini-3.8-flash,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,29.0,730391.667,14277.333,106.373,1.0,
control,google_adk,gemini-3.8-flash,gl_02_reverse_je,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,43.333,1957355.0,45223.667,269.453,1.0,
control,google_adk,gemini-3.8-flash,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4.333,53708.333,1933.333,20.083,1.0,
control,google_adk,gemini-3.8-flash,o2c_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,78.333,2964922.333,32115.667,245.443,1.0,
control,google_adk,gemini-3.8-flash,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.667,31867.667,2400.667,25.777,1.0,
control,google_adk,gemini-3.8-flash,o2c_03_partial_ship,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,70.667,2369861.667,21344.667,181.043,1.0,
control,google_adk,gemini-3.8-flash,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,84.333,3354129.667,29842.333,261.003,1.0,
control,google_adk,gemini-3.8-flash,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.0,242172.667,4653.333,43.993,1.0,
control,google_adk,gemini-3.8-flash,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,50.0,2119475.0,54452.0,373.983,1.0,
control,google_adk,gemini-3.8-flash,p2p_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,88.333,3651167.667,32398.667,394.093,1.0,
control,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,107.0,4120187.333,45664.667,609.75,1.0,
control,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,32.333,713995.0,14379.667,347.223,1.0,
control,google_adk,gemini-3.8-flash,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,33.333,576912.0,9751.0,423.53,1.0,
control,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,61.667,2432825.0,28071.333,478.917,1.0,
control,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,86.333,3635539.667,27949.0,659.28,1.0,
control,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,18.0,313477.667,14138.0,255.713,1.0,
control,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,87.667,4220408.333,33580.333,807.357,1.0,
