server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
treatment,google_adk,gemini-3.8-flash,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,127331.667,1067.0,40.847,1.0,closed=3
treatment,google_adk,gemini-3.8-flash,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.0,142298.0,1535.0,42.547,1.0,
treatment,google_adk,gemini-3.8-flash,dup_01_retry_storm,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,1.0,0.667,,42.667,1960179.667,12131.667,243.437,1.0,
treatment,google_adk,gemini-3.8-flash,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.333,217813.333,1167.333,50.797,1.0,
treatment,google_adk,gemini-3.8-flash,gl_02_reverse_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.333,414222.667,1857.667,88.29,1.0,
treatment,google_adk,gemini-3.8-flash,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6.0,151961.667,2007.333,67.5,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.667,438107.0,1883.667,45.737,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.667,223601.333,2125.0,62.06,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_03_partial_ship,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,15.333,494502.0,2332.333,40.343,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,17.333,706950.0,2663.0,61.837,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.667,361502.0,2063.667,62.87,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.333,407101.333,1908.667,56.833,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,21.0,815445.0,5158.667,125.49,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,30.667,1341479.333,6549.333,143.02,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.667,248100.0,2114.667,45.403,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.667,224776.333,1048.667,41.103,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,28.0,1308303.0,10344.333,175.92,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,22.0,840791.0,5376.333,97.09,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.333,25.0,1035558.333,18095.667,141.157,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,25.667,990792.333,5542.0,96.357,1.0,
