server,client,tool,calls,median_ms,p95_ms,mean_ms,max_ms
control,claude_agent_sdk,*,1658,1.7,3.6,2.0,68.8
control,claude_agent_sdk,get_row,183,1.5,2.4,1.7,4.9
control,claude_agent_sdk,insert_row,480,2.0,3.9,2.4,8.1
control,claude_agent_sdk,list_rows,631,1.6,3.6,1.9,9.2
control,claude_agent_sdk,list_tables,52,0.2,0.2,0.2,0.3
control,claude_agent_sdk,update_row,312,1.7,3.2,2.2,68.8
control,google_adk,*,3128,1.9,5.0,2.4,112.7
control,google_adk,get_row,354,1.5,5.0,2.3,112.7
control,google_adk,insert_row,914,2.0,3.2,2.2,93.5
control,google_adk,list_rows,1477,1.9,5.5,2.7,94.2
control,google_adk,list_tables,55,0.1,0.2,0.2,0.9
control,google_adk,update_row,328,1.8,2.8,1.9,6.3
control,openai_agents_sdk,*,1103,1.5,2.2,1.6,9.8
control,openai_agents_sdk,get_row,222,1.1,1.7,1.3,3.2
control,openai_agents_sdk,insert_row,305,1.8,3.0,2.0,9.8
control,openai_agents_sdk,list_rows,390,1.4,1.8,1.4,3.8
control,openai_agents_sdk,update_row,186,1.6,2.6,1.6,9.2
treatment,claude_agent_sdk,*,557,6.5,22.1,8.7,153.3
treatment,claude_agent_sdk,accept_goods,15,7.0,7.9,7.0,7.9
treatment,claude_agent_sdk,cancel_purchase_order,7,5.2,10.3,7.0,10.3
treatment,claude_agent_sdk,close_period,12,8.5,13.6,10.0,13.6
treatment,claude_agent_sdk,create_purchase_order,54,8.8,14.1,8.9,16.4
treatment,claude_agent_sdk,create_sales_order,27,6.4,13.8,9.2,14.7
treatment,claude_agent_sdk,explain_balance,1,16.2,16.2,16.2,16.2
treatment,claude_agent_sdk,find_duplicates,3,4.4,5.4,4.6,5.4
treatment,claude_agent_sdk,get_account_balance,6,3.2,9.6,4.8,9.6
treatment,claude_agent_sdk,get_current_period,17,7.6,10.6,8.0,10.6
treatment,claude_agent_sdk,get_document,97,5.9,7.9,7.4,153.3
treatment,claude_agent_sdk,get_inventory,29,1.5,3.2,2.1,18.0
treatment,claude_agent_sdk,get_period,9,7.4,12.7,8.1,12.7
treatment,claude_agent_sdk,get_reconciliation,5,3.0,3.7,3.1,3.7
treatment,claude_agent_sdk,issue_credit_note,6,12.9,21.4,13.2,21.4
treatment,claude_agent_sdk,issue_customer_invoice,18,15.2,24.6,15.3,24.6
treatment,claude_agent_sdk,list_open_items,4,4.3,6.0,4.6,6.0
treatment,claude_agent_sdk,list_pending_approvals,21,1.8,3.3,2.0,3.4
treatment,claude_agent_sdk,list_tokens,1,0.1,0.1,0.1,0.1
treatment,claude_agent_sdk,pay_supplier,24,13.5,21.2,13.1,21.3
treatment,claude_agent_sdk,post_journal_entry,6,9.8,15.6,9.8,15.6
treatment,claude_agent_sdk,post_supplier_invoice,40,7.1,24.4,13.4,26.5
treatment,claude_agent_sdk,receive_goods,48,11.4,18.1,11.6,21.0
treatment,claude_agent_sdk,record_customer_payment,12,14.3,26.2,13.6,26.2
treatment,claude_agent_sdk,reverse_customer_payment,6,13.9,21.9,13.8,21.9
treatment,claude_agent_sdk,reverse_goods_receipt,8,15.8,35.6,17.3,35.6
treatment,claude_agent_sdk,reverse_journal_entry,7,4.8,19.4,9.8,19.4
treatment,claude_agent_sdk,search_documents,24,3.0,8.3,4.1,26.2
treatment,claude_agent_sdk,ship_order,21,7.0,21.6,12.6,22.5
treatment,claude_agent_sdk,trace_document,3,25.6,26.2,25.6,26.2
treatment,claude_agent_sdk,whoami,26,0.3,0.3,0.3,0.4
treatment,google_adk,*,993,5.9,21.5,7.0,90.9
treatment,google_adk,accept_goods,35,6.4,7.4,6.5,7.4
treatment,google_adk,cancel_purchase_order,6,7.9,11.0,7.7,11.0
treatment,google_adk,close_period,9,8.6,22.8,11.4,22.8
treatment,google_adk,create_purchase_order,57,6.3,14.2,8.6,15.9
treatment,google_adk,create_sales_order,32,6.3,13.7,8.9,15.6
treatment,google_adk,describe_tool,45,1.0,1.3,1.0,2.2
treatment,google_adk,explain_balance,5,34.1,90.9,42.1,90.9
treatment,google_adk,explain_error,2,0.2,0.2,0.2,0.2
treatment,google_adk,find_duplicates,3,4.3,5.4,3.9,5.4
treatment,google_adk,get_account_balance,34,5.0,15.2,6.0,21.0
treatment,google_adk,get_agent_activity,2,3.4,3.5,3.4,3.5
treatment,google_adk,get_current_period,65,7.0,12.9,8.4,15.5
treatment,google_adk,get_document,145,6.4,16.4,8.1,32.2
treatment,google_adk,get_inventory,35,2.5,4.8,2.5,5.0
treatment,google_adk,get_ledger_entries,1,3.5,3.5,3.5,3.5
treatment,google_adk,get_period,13,7.3,12.1,8.3,12.1
treatment,google_adk,get_reconciliation,19,2.9,5.4,3.3,5.4
treatment,google_adk,get_request_log,8,0.7,2.0,0.9,2.0
treatment,google_adk,get_system_status,4,0.0,0.0,0.0,0.0
treatment,google_adk,get_trial_balance,10,2.6,4.9,3.0,4.9
treatment,google_adk,issue_credit_note,6,12.7,21.6,13.2,21.6
treatment,google_adk,issue_customer_invoice,18,15.6,24.8,15.7,24.8
treatment,google_adk,list_capabilities,2,0.4,0.5,0.4,0.5
treatment,google_adk,list_document_types,9,0.2,0.2,0.2,0.2
treatment,google_adk,list_open_items,27,3.0,12.2,4.2,12.6
treatment,google_adk,list_pending_approvals,38,1.7,2.3,1.8,2.9
treatment,google_adk,list_tokens,15,0.0,0.0,0.0,0.0
treatment,google_adk,pay_supplier,24,13.8,20.8,13.1,21.4
treatment,google_adk,poll_events,7,1.8,2.6,1.9,2.6
treatment,google_adk,post_journal_entry,9,4.6,16.9,8.5,16.9
treatment,google_adk,post_supplier_invoice,64,6.9,22.4,9.7,23.7
treatment,google_adk,receive_goods,44,6.9,16.7,10.8,19.7
treatment,google_adk,record_customer_payment,12,13.1,22.6,13.1,22.6
treatment,google_adk,reopen_period,1,2.6,2.6,2.6,2.6
treatment,google_adk,reverse_customer_payment,6,13.4,21.8,13.7,21.8
treatment,google_adk,reverse_goods_receipt,4,8.4,25.0,12.5,25.0
treatment,google_adk,reverse_journal_entry,6,10.8,17.2,10.7,17.2
treatment,google_adk,search_documents,55,2.2,9.7,3.4,14.8
treatment,google_adk,ship_order,21,6.4,22.1,12.7,22.2
treatment,google_adk,trace_document,19,22.3,31.4,22.1,31.4
treatment,google_adk,verify_receipt,1,3.3,3.3,3.3,3.3
treatment,google_adk,whoami,75,0.2,0.3,0.2,0.6
treatment,openai_agents_sdk,*,459,6.7,22.2,9.3,27.3
treatment,openai_agents_sdk,cancel_purchase_order,6,7.9,11.6,7.9,11.6
treatment,openai_agents_sdk,close_period,6,10.5,14.0,10.6,14.0
treatment,openai_agents_sdk,create_purchase_order,55,6.4,13.9,8.8,17.0
treatment,openai_agents_sdk,create_sales_order,27,6.1,15.4,9.4,21.1
treatment,openai_agents_sdk,get_account_balance,3,2.9,3.6,3.1,3.6
treatment,openai_agents_sdk,get_current_period,9,6.7,6.9,6.7,6.9
treatment,openai_agents_sdk,get_document,106,6.2,8.0,6.2,16.7
treatment,openai_agents_sdk,get_inventory,7,1.5,1.5,1.4,1.5
treatment,openai_agents_sdk,get_ledger_entries,6,2.1,3.2,2.2,3.2
treatment,openai_agents_sdk,get_period,12,7.3,9.5,7.4,9.5
treatment,openai_agents_sdk,get_reconciliation,4,3.1,3.3,3.0,3.3
treatment,openai_agents_sdk,get_request_log,1,0.1,0.1,0.1,0.1
treatment,openai_agents_sdk,issue_credit_note,6,12.6,21.1,12.9,21.1
treatment,openai_agents_sdk,issue_customer_invoice,18,15.3,24.6,15.5,24.6
treatment,openai_agents_sdk,list_open_items,13,3.2,11.5,3.8,11.5
treatment,openai_agents_sdk,pay_supplier,24,13.8,21.1,13.3,21.1
treatment,openai_agents_sdk,post_journal_entry,6,10.1,16.2,10.1,16.2
treatment,openai_agents_sdk,post_supplier_invoice,36,11.7,24.6,14.3,27.3
