server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,claude_agent_sdk,claude-sonnet-5,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.333,60506.333,3402.667,37.863,1.0,closed=3
control,claude_agent_sdk,claude-sonnet-5,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.0,30138.667,3008.333,34.203,1.0,
control,claude_agent_sdk,claude-sonnet-5,dup_01_retry_storm,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,50.333,259834.667,11938.0,119.383,1.0,
control,claude_agent_sdk,claude-sonnet-5,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.667,63572.667,2361.667,25.903,1.0,
control,claude_agent_sdk,claude-sonnet-5,gl_02_reverse_je,3,0.667,0.667,0.0,0.0,0.0,0.333,0.0,,0.0,0.667,13.0,71869.0,4617.333,49.86,1.0,
control,claude_agent_sdk,claude-sonnet-5,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.667,6256.333,619.333,8.697,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,48.333,300677.333,10556.333,102.763,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.333,14137.667,1506.0,17.897,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_03_partial_ship,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,41.333,233705.667,10053.333,99.173,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,56.667,397688.333,13604.0,131.31,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,7.667,32227.667,1714.333,21.923,1.0,
control,claude_agent_sdk,claude-sonnet-5,o2c_06_payment_reversal,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,,0.0,0.333,20.333,89923.667,4016.333,42.947,1.0,
control,claude_agent_sdk,claude-sonnet-5,p2p_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,47.0,302667.0,11335.333,108.487,1.0,
control,claude_agent_sdk,claude-sonnet-5,p2p_02_partial_receipt,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,50.333,345089.0,21126.0,217.233,1.0,
control,claude_agent_sdk,claude-sonnet-5,p2p_04_over_threshold,3,0.0,0.0,0.0,0.0,0.0,1.0,0.667,,0.0,,9.0,39141.333,2921.0,34.543,1.0,
control,claude_agent_sdk,claude-sonnet-5,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.0,39603.667,2155.0,26.233,1.0,
