server,client,tool,calls,median_ms,p95_ms,mean_ms,max_ms
control,scripted,*,1500,1.4,2.4,1.5,109.9
control,scripted,get_row,102,0.8,1.1,0.9,2.4
control,scripted,insert_row,435,1.6,4.1,2.2,109.9
control,scripted,list_rows,672,0.9,1.4,1.0,2.9
control,scripted,update_row,291,1.4,2.9,1.7,6.7
treatment,scripted,*,384,6.4,23.0,10.1,202.0
treatment,scripted,cancel_purchase_order,6,6.8,10.3,6.9,10.3
treatment,scripted,close_period,6,11.7,202.0,41.7,202.0
treatment,scripted,create_purchase_order,48,8.4,15.7,8.8,19.0
treatment,scripted,create_sales_order,27,6.5,16.5,9.2,23.8
treatment,scripted,get_document,54,5.8,10.4,6.3,11.7
treatment,scripted,get_period,3,6.2,7.1,6.5,7.1
treatment,scripted,issue_credit_note,6,13.7,21.7,13.4,21.7
treatment,scripted,issue_customer_invoice,18,17.7,29.7,15.7,29.7
treatment,scripted,pay_supplier,24,14.6,22.0,12.6,22.3
treatment,scripted,post_journal_entry,9,3.2,16.5,7.3,16.5
treatment,scripted,post_supplier_invoice,33,10.1,30.4,14.3,33.6
treatment,scripted,receive_goods,42,11.3,20.6,12.6,64.2
treatment,scripted,record_customer_payment,12,12.9,23.3,13.2,23.3
treatment,scripted,reverse_customer_payment,6,11.9,22.5,12.5,22.5
treatment,scripted,reverse_goods_receipt,12,8.4,31.0,11.6,31.0
treatment,scripted,reverse_journal_entry,6,9.8,18.6,10.0,18.6
treatment,scripted,search_documents,51,2.5,4.3,2.5,6.6
treatment,scripted,ship_order,21,7.1,24.0,12.4,26.8
