server,client,task,runs,success_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity
control,scripted,close_01_clean,3,1.0,0.0,,0.0,,3.0,0.0,0.0,0.047,1.0
control,scripted,close_02_blocked,3,1.0,0.0,,0.0,,1.0,0.0,0.0,0.043,1.0
control,scripted,dup_01_retry_storm,3,1.0,0.0,,0.0,,42.0,0.0,0.0,0.153,1.0
control,scripted,gl_01_manual_je,3,1.0,0.0,,0.0,,7.0,0.0,0.0,0.057,1.0
control,scripted,gl_02_reverse_je,3,1.0,0.0,,0.0,1.0,9.0,0.0,0.0,0.063,1.0
control,scripted,gl_03_closed_period,3,1.0,0.0,,0.0,,1.0,0.0,0.0,0.043,1.0
control,scripted,o2c_01_simple,3,1.0,0.0,,1.0,,46.0,0.0,0.0,0.113,1.0
control,scripted,o2c_02_credit_limit,3,1.0,0.0,,0.0,,3.0,0.0,0.0,0.05,1.0
control,scripted,o2c_03_partial_ship,3,1.0,0.0,,1.0,,34.0,0.0,0.0,0.093,1.0
control,scripted,o2c_04_credit_note,3,1.0,0.0,,0.0,,59.0,0.0,0.0,0.15,1.0
control,scripted,o2c_05_out_of_stock,3,1.0,0.0,,0.0,,8.0,0.0,0.0,0.05,1.0
control,scripted,o2c_06_payment_reversal,3,1.0,0.0,,0.0,1.0,15.0,0.0,0.0,0.063,1.0
control,scripted,p2p_01_simple,3,1.0,0.0,,1.0,,51.0,0.0,0.0,0.11,1.0
control,scripted,p2p_02_partial_receipt,3,1.0,0.0,,1.0,,51.0,0.0,0.0,0.103,1.0
control,scripted,p2p_04_over_threshold,3,0.0,0.0,,0.0,,5.0,0.0,0.0,0.087,1.0
control,scripted,p2p_05_cancel,3,1.0,0.0,,0.0,,6.0,0.0,0.0,0.047,1.0
control,scripted,p2p_06_price_variance_5pct,3,1.0,0.0,,0.0,,26.0,0.0,0.0,0.073,1.0
control,scripted,p2p_07_variance_within_tolerance,3,1.0,0.0,,0.0,,52.0,0.0,0.0,0.107,1.0
control,scripted,p2p_08_reverse_wrong_grn,3,1.0,0.0,,0.0,1.0,31.0,0.0,0.0,0.083,1.0
control,scripted,p2p_09_partial_payment,3,1.0,0.0,,0.0,,50.0,0.0,0.0,0.13,1.0
treatment,scripted,close_01_clean,3,1.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.083,1.0
treatment,scripted,close_02_blocked,3,1.0,0.0,,0.0,,1.0,0.0,0.0,0.01,1.0
treatment,scripted,dup_01_retry_storm,3,1.0,0.0,1.0,0.0,,12.0,0.0,0.0,0.14,1.0
treatment,scripted,gl_01_manual_je,3,1.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.02,1.0
treatment,scripted,gl_02_reverse_je,3,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.023,1.0
treatment,scripted,gl_03_closed_period,3,1.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0
treatment,scripted,o2c_01_simple,3,1.0,0.0,1.0,1.0,,8.0,0.0,0.0,0.11,1.0
treatment,scripted,o2c_02_credit_limit,3,1.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0
treatment,scripted,o2c_03_partial_ship,3,1.0,0.0,1.0,1.0,,6.0,0.0,0.0,0.073,1.0
treatment,scripted,o2c_04_credit_note,3,1.0,0.0,1.0,0.0,,10.0,0.0,0.0,0.13,1.0
treatment,scripted,o2c_05_out_of_stock,3,1.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.023,1.0
treatment,scripted,o2c_06_payment_reversal,3,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.027,1.0
treatment,scripted,p2p_01_simple,3,1.0,0.0,1.0,1.0,,13.0,0.0,0.0,0.2,1.0
treatment,scripted,p2p_02_partial_receipt,3,1.0,0.0,1.0,1.0,,13.0,0.0,0.0,0.16,1.0
treatment,scripted,p2p_04_over_threshold,3,1.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.02,1.0
treatment,scripted,p2p_05_cancel,3,1.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.03,1.0
treatment,scripted,p2p_06_price_variance_5pct,3,1.0,0.0,1.0,0.0,,9.0,0.0,0.0,0.1,1.0
treatment,scripted,p2p_07_variance_within_tolerance,3,1.0,0.0,1.0,0.0,,13.0,0.0,0.0,0.15,1.0
treatment,scripted,p2p_08_reverse_wrong_grn,3,1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.103,1.0
treatment,scripted,p2p_09_partial_payment,3,1.0,0.0,1.0,0.0,,13.0,0.0,0.0,0.18,1.0
